[00:00.000 --> 00:28.000]  Good morning, everyone.
[26:50.000 --> 26:53.000]  because you know for sure that its motivation,
[26:53.000 --> 26:56.000]  it's probably ideologic, probably,
[26:56.000 --> 26:59.000]  if you see his Facebook wall, for example,
[26:59.000 --> 27:02.000]  but there is the money, and the ads,
[27:02.000 --> 27:04.000]  and the Google and the platform
[27:04.000 --> 27:08.000]  are fueling the disinformation with the ad system.
[27:08.000 --> 27:11.000]  So, this is really important to identify.
[27:11.000 --> 27:12.000]  Okay, last question over there.
[27:12.000 --> 27:13.000]  Yes.
[27:13.000 --> 27:16.000]  Is there a strategy or a approach to tackling disinformation
[27:16.000 --> 27:18.000]  in authoritarian states?
[27:18.000 --> 27:20.000]  I didn't get the question, sorry.
[27:20.000 --> 27:22.000]  I mean, is there a strategy or an approach
[27:22.000 --> 27:26.000]  to tackling disinformation in authoritarian states
[27:26.000 --> 27:28.000]  and with partnerships?
[27:28.000 --> 27:32.000]  I mean, my information is far too beautiful.
[27:32.000 --> 27:36.000]  So, is there a strategy from,
[27:36.000 --> 27:38.000]  the question is that, is there a strategy
[27:38.000 --> 27:42.000]  to tackle disinformation from authoritarian states?
[27:42.000 --> 27:44.000]  I think so.
[27:44.000 --> 27:47.000]  The problem is that everyone has its own strategy.
[27:47.000 --> 27:49.000]  So, there are millions of strategies,
[27:49.000 --> 27:51.000]  and this is the big issue, according to me.
[27:51.000 --> 27:54.000]  So, Europe, for example, is trying to organize this
[27:54.000 --> 27:57.000]  by different programs.
[27:57.000 --> 28:00.000]  EU Disinfo Lab, like is the leader
[28:00.000 --> 28:04.000]  in trying to federate the disinfo structure
[28:04.000 --> 28:08.000]  and activists in order to make wider
[28:08.000 --> 28:10.000]  and bigger investigations like this.
[28:10.000 --> 28:12.000]  So, I think, yes, there is a strategy.
[28:12.000 --> 28:14.000]  The problem is that for the moment,
[28:14.000 --> 28:16.000]  there are multiple strategies.
[28:16.000 --> 28:18.000]  But it's going to change.
[28:18.000 --> 28:19.000]  Thank you.
[28:19.000 --> 28:20.000]  Thanks.
[28:20.000 --> 28:21.000]  Thank you.
[28:21.000 --> 28:22.000]  Thank you.
[28:22.000 --> 28:23.000]  Thank you.
[28:23.000 --> 28:24.000]  Thank you.
[28:24.000 --> 28:25.000]  Thank you.
[28:25.000 --> 28:26.000]  Thank you.
[28:26.000 --> 28:27.000]  Thank you.
[28:27.000 --> 28:28.000]  Thank you.
[28:28.000 --> 28:29.000]  Thank you.
[28:29.000 --> 28:30.000]  Thank you.
[28:30.000 --> 28:31.000]  Thank you.
[28:31.000 --> 28:32.000]  Thank you.
[28:32.000 --> 28:34.000]  Thank you.
