[00:00.000 --> 00:02.060]  you
[28:59.640 --> 29:04.640]  which immediate of this value, RS1, functionality 0,
[29:04.640 --> 29:10.640]  or the this one, and opcode stuff, I can show you the,
[29:10.640 --> 29:13.640]  I think I'm done, you know, I don't have any time, so
[29:13.640 --> 29:19.640]  let me just show this one and then to Radare, so
[29:19.640 --> 29:32.640]  poke, what was, yeah, pickles, what, yeah, yeah, yeah,
[29:32.640 --> 29:37.640]  hey, I didn't pay for them, you can, it's free from
[29:37.640 --> 29:44.640]  my point of view, you have to handle him, so this
[29:44.640 --> 29:48.640]  is risk 5, you see, we define the opcodes, different
[29:48.640 --> 29:52.640]  instructions, like this is the instruction type B,
[29:52.640 --> 29:57.640]  it's an integral structure, so you can read about this,
[29:57.640 --> 30:00.640]  so we can have very complex things, we have pretty
[30:00.640 --> 30:03.640]  printers, nice thing is we have, also I want to show
[30:03.640 --> 30:09.640]  this, this is from, okay, I can put it into
[30:09.640 --> 30:18.640]  incense variable, incense 0, which is, let me close
[30:18.640 --> 30:22.640]  this view, dumb view, yeah, yeah, here we have the
[30:22.640 --> 30:27.640]  thing, so you can give the, this is the actual
[30:27.640 --> 30:33.640]  number, which is there, in the memory it is stored
[30:33.640 --> 30:37.640]  in the little indian, so 1380, something like that,
[30:37.640 --> 30:45.640]  and one, what, what, yeah, as, as, so we have a
[30:45.640 --> 30:50.640]  method, you call this method, you don't need to
[30:50.640 --> 30:54.640]  print, if there is no argument, so it gives you
[30:54.640 --> 30:58.640]  a real valid instruction for the assembler, so this
[30:58.640 --> 31:01.640]  is part of the whole story, so you can add more
[31:01.640 --> 31:04.640]  pokelets, next year I will come back with more
[31:04.640 --> 31:08.640]  interesting things, no GUI, but the right way, and
[31:08.640 --> 31:11.640]  yeah, thank you, thank you, if there is any
[31:11.640 --> 31:25.640]  more, thank you, thank you, thank you, thank you.
