[00:00.000 --> 00:05.000]  Welcome, Bobor.
[23:32.000 --> 23:34.000]  and you can exchange some log data.
[23:34.000 --> 23:36.000]  I mean, the request data.
[23:36.000 --> 23:38.000]  I had another presentation also.
[23:38.000 --> 23:41.000]  Maybe I can share with you after the session
[23:41.000 --> 23:43.000]  about how to write in Java plugin,
[23:43.000 --> 23:46.000]  how to create plugin maybe in Python and so on.
[23:46.000 --> 23:48.000]  This is a t-shirt for you.
[23:48.000 --> 23:50.000]  So I will keep it.
[23:50.000 --> 23:51.000]  More questions?
[23:51.000 --> 23:53.000]  But I don't have a t-shirt.
[23:53.000 --> 23:54.000]  Hello.
[23:54.000 --> 23:57.000]  How do you compare API 6 to other API gateways
[23:57.000 --> 24:00.000]  like Gravity, Kong, or...
[24:00.000 --> 24:02.000]  Which API gateways again?
[24:02.000 --> 24:08.000]  How do you compare API 6 to other API gateways on the market?
[24:08.000 --> 24:11.000]  How do I compare or...
[24:11.000 --> 24:13.000]  What's its main selling point?
[24:13.000 --> 24:15.000]  Sorry, once again.
[24:15.000 --> 24:16.000]  What's its main selling point?
[24:16.000 --> 24:22.000]  Why is it better than other API gateways?
[24:22.000 --> 24:25.000]  Code coverage, do you mean?
[24:25.000 --> 24:29.000]  Compared to the others, I think it's a little bit...
[24:29.000 --> 24:32.000]  I think it would be a little bit hard to listen from that.
[24:32.000 --> 24:34.000]  I will come to...
[24:34.000 --> 24:37.000]  There's a lot of API gateways on the market.
[24:37.000 --> 24:38.000]  Yes, yes.
[24:38.000 --> 24:40.000]  Why is API 6...
[24:40.000 --> 24:41.000]  Oh, do you mean benchmarking?
[24:41.000 --> 24:43.000]  Ah, okay, I got it.
[24:43.000 --> 24:46.000]  I'm not, of course, trying to sell API 6, right?
[24:46.000 --> 24:47.000]  Even if I have a t-shirt.
[24:47.000 --> 24:48.000]  I'm just giving out a t-shirt.
[24:48.000 --> 24:50.000]  I'm an open source contributor
[24:50.000 --> 24:55.000]  because one reason is it provides hot reloading of plugins.
[24:55.000 --> 24:57.000]  You don't have to stop your instance.
[24:57.000 --> 24:59.000]  You don't have to stop the instance.
[24:59.000 --> 25:03.000]  You can just run these plugins on the fly.
[25:03.000 --> 25:05.000]  You can switch off one plugin.
[25:05.000 --> 25:09.000]  You can write your custom plugin enable while this API 6 instance is running.
[25:09.000 --> 25:13.000]  This is one of the advantages that any other API gateways they don't provide.
[25:13.000 --> 25:16.000]  And the performance is on the top now
[25:16.000 --> 25:18.000]  compared to com API gateway.
[25:18.000 --> 25:20.000]  Our performance is high, twice faster.
[25:20.000 --> 25:22.000]  You can check it out.
[25:22.000 --> 25:24.000]  And we have...
[25:24.000 --> 25:28.000]  API 6 not only has API gateway, it has also English controller.
[25:28.000 --> 25:31.000]  You can use it for Kubernetes English controller
[25:31.000 --> 25:34.000]  or even you can extend it to a service mesh
[25:34.000 --> 25:36.000]  for your Kubernetes services.
[25:36.000 --> 25:38.000]  That's one of the advantages.
[25:38.000 --> 25:41.000]  But these advantages also exist, of course.
[25:41.000 --> 25:43.000]  It is open source, too.
[25:43.000 --> 25:44.000]  Yeah.
[25:44.000 --> 25:46.000]  I hope I could answer.
[25:46.000 --> 25:48.000]  Sorry, it was a little bit hard to listen to.
[25:48.000 --> 25:50.000]  Okay.
[25:50.000 --> 25:56.000]  Could you please elaborate a little bit on the scalability of those plugins?
[25:56.000 --> 25:58.000]  It would be nice.
[25:58.000 --> 26:01.000]  You're worrying about how it's scalable, right?
[26:01.000 --> 26:04.000]  How much it can carry?
[26:04.000 --> 26:06.000]  How much observations can be done?
[26:06.000 --> 26:08.000]  Good question.
[26:08.000 --> 26:10.000]  You can enable multiple plugins.
[26:10.000 --> 26:14.000]  It's this up to you how many plugins you would like to use.
[26:14.000 --> 26:19.000]  And there should be some problems when it comes to millions,
[26:19.000 --> 26:21.000]  maybe billions of API calls.
[26:21.000 --> 26:24.000]  That's why we have different deployment modes.
[26:24.000 --> 26:28.000]  For example, you can deploy API 6 as a standalone
[26:28.000 --> 26:33.000]  or maybe you can deploy with multiple API 6 instance one storage.
[26:33.000 --> 26:37.000]  Or one API 6, different types of storage.
[26:37.000 --> 26:42.000]  Because ITCD is compared to other relational database,
[26:42.000 --> 26:45.000]  non-relational database, super fast to first data.
[26:45.000 --> 26:49.000]  That's why it's also easy to deploy in many places.
[26:49.000 --> 26:52.000]  That's scalable without any issue.
[26:52.000 --> 26:55.000]  Yeah.
[26:55.000 --> 26:58.000]  Does it make sense?
[26:58.000 --> 27:00.000]  Yeah, just a quick question.
[27:00.000 --> 27:04.000]  I saw there you had API 6 EngineX.
[27:04.000 --> 27:08.000]  Is EngineX the underlying API gateway?
[27:08.000 --> 27:12.000]  And API 6 sits on top of it and expands the capabilities of it.
[27:12.000 --> 27:15.000]  Because EngineX is quite limited in that.
[27:15.000 --> 27:16.000]  Yeah, true.
[27:16.000 --> 27:20.000]  EngineX is the root of the API 6.
[27:20.000 --> 27:23.000]  It's built on the top of EngineX.
[27:23.000 --> 27:26.000]  But it provides additional features, right?
[27:26.000 --> 27:30.000]  Yeah.
[27:30.000 --> 27:32.000]  We have one more question.
[27:32.000 --> 27:34.000]  I'll try to make it short.
[27:34.000 --> 27:39.000]  Can API 6 work with GraphQL APIs?
[27:39.000 --> 27:40.000]  Yes.
[27:40.000 --> 27:43.000]  GraphQL, I think nowadays became very popular also.
[27:43.000 --> 27:44.000]  Sorry.
[27:44.000 --> 27:47.000]  I think Nikola also had the talk about tracing, right?
[27:47.000 --> 27:51.000]  He has some of the talks about this GraphQL.
[27:51.000 --> 27:55.000]  We are improving, we're contributing more now,
[27:55.000 --> 27:57.000]  massively on the GraphQL.
[27:57.000 --> 28:00.000]  My answer is it's possible, yes.
[28:00.000 --> 28:03.000]  You can try it out.
[28:03.000 --> 28:06.000]  Any other questions?
[28:06.000 --> 28:07.000]  OK.
[28:07.000 --> 28:09.000]  Thanks a lot, everyone.
[28:09.000 --> 28:10.000]  Thank you for coming.
[28:10.000 --> 28:11.000]  Thank you.
