[00:00.000 --> 00:05.920]  Good morning, wow.
[29:48.760 --> 29:53.320]  Flatup with some kind of filtering. But I didn't really want to mess with that at the
[29:53.320 --> 29:59.280]  beginning of my project doing all of this, so I just opted for trusting Flatup first
[29:59.280 --> 30:04.840]  and then waiting for the problems to surface. And it's five years later and I'm still waiting,
[30:04.840 --> 30:10.720]  like we haven't had a single issue with the microS desktop where a Flatup application
[30:10.720 --> 30:14.960]  really got in the way and needed us to think, okay, you know, we can't trust these guys,
[30:14.960 --> 30:18.880]  we should start doing that. It just hasn't happened. You know, the few times an application
[30:18.880 --> 30:23.400]  hasn't worked right, well, we send a patch. We work with them because that's how open
[30:23.400 --> 30:30.880]  source is meant to work, right? So as a distribution guy, I've realized, you know, we don't need
[30:30.880 --> 30:37.160]  to be building these giant, humongous, huge code bases, you know, even though that's still
[30:37.160 --> 30:42.640]  what we do with Tumbleweed, you know, I don't meet myself. I'm purely a microS person now.
[30:42.640 --> 30:49.120]  All of my servers are microS. My desktop here is microS. I'm using a tiny 1,000 package
[30:49.120 --> 30:54.760]  fraction of my Tumbleweed code base. And everything else is coming from containers, some of which
[30:54.760 --> 31:01.840]  are built from that much bigger code base. All my graphical stuff is coming from Flatup.
[31:01.840 --> 31:08.880]  And my life is good and I'm happy. And this presentation is Libre Office from Flatup.
[31:08.880 --> 31:12.880]  So my final thoughts, which I realized I'm actually finishing a little bit early, but
[31:12.880 --> 31:19.560]  that's good. More time for Q&A. Flatpacks are ready for primetime. The other ones aren't.
[31:19.560 --> 31:25.040]  You know, don't use app image. Only use Snap if you trust Canonical. But, you know, we're
[31:25.040 --> 31:29.280]  here at Fostem. Flatpacks are the better way to go for people like you who are here at
[31:29.280 --> 31:39.200]  Fostem. And my system automatically updated in the background. Yeah. Desktop Linux distros
[31:39.200 --> 31:42.760]  do not need to package the whole world. If you're a distro builder, think about following
[31:42.760 --> 31:47.160]  the model we are doing with microS desktop. Think about, if not narrowing your scope
[31:47.160 --> 31:50.880]  because you're building the packages and you don't want to tell maintainers to go away,
[31:50.880 --> 31:56.040]  then at least just, you know, start drawing your focus more on just what you need to be
[31:56.040 --> 32:00.480]  doing. Start testing that part more. Start telling your users, you know, that's the
[32:00.480 --> 32:05.440]  bit you can really, really trust and, you know, give some secondary class to the old
[32:05.440 --> 32:13.400]  fashioned way of doing things. Yes.
[32:13.400 --> 32:20.080]  So you're telling us that Flatpacks run everywhere. Is that also true for different architectures?
[32:20.080 --> 32:25.440]  That is true at least for ARM. For Z probably not, but do you really have that many desktops
[32:25.440 --> 32:28.320]  in the main frame? Yes, of course.
[32:28.320 --> 32:32.200]  Yeah. Well, then that's something I'm sure the Flathop team wouldn't mind. Well, I'm
[32:32.200 --> 32:36.960]  sure we could get that working on Flatpack. Like if there's a need there, then also thinking
[32:36.960 --> 32:43.280]  about a risk drive, of course, and stuff like that. Yeah. But then that kind of, you know,
[32:43.280 --> 32:47.680]  point, actually nicely draws me to my sort of finishing point really, you know, none
[32:47.680 --> 32:52.360]  of this stuff is ever going to be perfect. You know, no technology ever is. That's why
[32:52.360 --> 32:58.360]  we do this stuff in the open. That's why we do this stuff open source. So when things
[32:58.360 --> 33:02.240]  aren't perfect and aren't the way they are, aren't covering a architecture that you want
[33:02.240 --> 33:08.040]  or whatever, you know, isn't it better to go to a project that is already going in that
[33:08.040 --> 33:13.120]  direction, that is trying to be available to everybody that is open to, you know, open
[33:13.120 --> 33:19.640]  to me yelling at them for months about how terrible they are and then work with them
[33:19.640 --> 33:24.440]  to get it all done rather than sticking in your own tiny little sandbox, doing it all
[33:24.440 --> 33:29.440]  on your own and then being burdened with it for decades. Like if you're doing graphical
[33:29.440 --> 33:34.240]  applications, this is the way we should be going. It's easier for package maintainers.
[33:34.240 --> 33:38.760]  It's easier for distros. It's easier for everyone to keep up. It's easier for users
[33:38.760 --> 33:42.560]  too. I mean, you just, you know, nice little web store. They click on what they want. You
[33:42.560 --> 33:46.040]  know, they can have the beta version if they publish in the beta version. It's, yeah, it's
[33:46.040 --> 33:52.400]  a nice way of getting stuff done. So, yeah, please, if you're doing anything with graphical
[33:52.400 --> 33:58.840]  apps, please get it on FlatHub. Please contribute to Flatpak. Please put Flatpak in your distro.
[33:58.840 --> 34:12.200]  And is there any other questions? Because, yes, right at the back there.
[34:12.200 --> 34:17.960]  You've addressed the outstanding question about CPU architecture, which is a great question.
[34:17.960 --> 34:22.480]  How do you feel about the fact, and I realize I'm asking a Linux question of a Linux distro
[34:22.480 --> 34:27.280]  maintainer, but how do you feel about the fact that containers tie everyone in the world
[34:27.280 --> 34:34.720]  to the Linux kernel interface as their interface shutting out other open kernel options like
[34:34.720 --> 34:42.160]  the BSDs from participating in that ecosystem and that the overall drive towards containers
[34:42.160 --> 34:49.160]  is further orphaning these already minimally represented, but very, very strong options
[34:49.160 --> 34:59.840]  in other kernels? They're strong. But I mean, I guess the recurring point I get to with
[34:59.840 --> 35:06.480]  all of this kind of thing is, you know, niche players are great for playing in niches. You
[35:06.480 --> 35:10.880]  know, when you're talking about something that needs to have widespread adoption and
[35:10.880 --> 35:16.360]  or widespread contribution, you know, some degree of centralization does make sense.
[35:16.360 --> 35:19.200]  It doesn't make sense for everybody to go make their own kernel. It doesn't make sense
[35:19.200 --> 35:24.560]  for everybody to make their own distribution. I would say it doesn't make sense for everybody
[35:24.560 --> 35:29.960]  to go packaging their own graphical applications 20 times over. So as hard as it is to say
[35:29.960 --> 35:35.880]  to somebody who's clearly passionate about other kernels and BSDs and what have you,
[35:35.880 --> 35:42.240]  I'm fine with containerization and these technologies dragging everybody to the Linux kernel because
[35:42.240 --> 35:48.840]  that's where the contributions are. So, you know, and as long as the Linux kernel is open
[35:48.840 --> 35:52.920]  to contributions and everybody can steer it in, you know, a good direction, I'm kind of
[35:52.920 --> 36:01.960]  okay with that.
[36:01.960 --> 36:08.080]  Thank you for your talk. I was with the presentation of 2017, so I think it's very nice that you
[36:08.080 --> 36:13.480]  changed the views. That year I also watched the presentation about Atomic from Fedora,
[36:13.480 --> 36:18.280]  so it was funny how those things interlapsed. I have a question about how you feel about
[36:18.280 --> 36:26.320]  the base system. You see currently there are trends like Nix and like SteamOS, which use
[36:26.320 --> 36:31.960]  like an immutable image as a base. How do you feel about that?
[36:31.960 --> 36:35.680]  I think immutable distributions are the way to go. I think if you're running Linux, it
[36:35.680 --> 36:44.640]  should be immutable. Immutability does bring with it a bunch of extra questions. For us
[36:44.640 --> 36:51.600]  as geeks, I think I can say that without insulting anybody in the room, we are keen to tinker
[36:51.600 --> 36:55.600]  with our machines and of course immutability quite often can get in the way of that. If
[36:55.600 --> 36:59.200]  you can't change your running system, how are you going to install that one little thing
[36:59.200 --> 37:08.120]  that you want? I think there's a sweet spot and I don't think some of the other distributions
[37:08.120 --> 37:13.400]  get it. You know, image-based deployments, you know, you've got a frozen image, you can't
[37:13.400 --> 37:17.960]  really modify that image or you have to build a whole new one. That's too much work. I don't
[37:17.960 --> 37:23.240]  like image-based immutable systems that much. Nix has an interesting way with everything
[37:23.240 --> 37:28.160]  being declarative, but it's a lot of hassle. Declaring everything, it kind of swings the
[37:28.160 --> 37:36.120]  other way for me, so I don't necessarily like the Nix way. OSTree has an interesting take
[37:36.120 --> 37:43.120]  on the whole thing, both from a user's perspective and the fact that it's immutable. It's nice,
[37:43.120 --> 37:46.560]  but then you end up with a million different layers of OSTree and that kind of just gets
[37:46.560 --> 37:51.880]  technically burdensome. Obviously, I work on micro-OS. I think we found that sweet spot.
[37:51.880 --> 37:58.080]  In our case, we're using BTFF snapshots to do all the magic underneath the hood where
[37:58.080 --> 38:03.040]  your running system never gets touched, but you can still do traditional package management
[38:03.040 --> 38:07.040]  against a new snapshot and that becomes your Nix Boot target. You never affect the running
[38:07.040 --> 38:11.040]  system, but you can do whatever the heck you want with your Nix Boot. Then if that Nix
[38:11.040 --> 38:16.760]  Boot goes horribly wrong, we just throw the whole snapshot away. It's super fast, super
[38:16.760 --> 38:22.360]  easy. It avoids all of that. You can still tinker with it, but unfortunately, the downside
[38:22.360 --> 38:26.640]  of that is I do sometimes have to tell people, don't tinker too much. The more you do crazy
[38:26.640 --> 38:31.360]  stuff, the more likely you're going to throw that snapshot away, but I think that sweet
[38:31.360 --> 38:36.680]  spot is better than super lockdown images or complete freedom of having to declare everything
[38:36.680 --> 38:50.240]  in a config file. Okay. Thank you for your presentation. I had never heard of Flatpak.
[38:50.240 --> 38:57.120]  On my Ubuntu, I'm using a Snap to install application. On my Mac, I'm using Homebrew.
[38:57.120 --> 39:04.560]  What do you think of Homebrew on Linux? I don't see the point of Homebrew on Linux.
[39:04.560 --> 39:11.480]  Yeah. Why? I get it on Mac. I've installed a few things on my Mac that I desperately
[39:11.480 --> 39:20.720]  need there, but my Mac, I use for photography. I don't do anything technical on it. Don't
[39:20.720 --> 39:33.200]  see the point. Okay. Thank you. How likely is it for the files stored in the home directory,
[39:33.200 --> 39:39.080]  especially the user files, to be affected if I roll back a snapshot after a failed upgrade?
[39:39.080 --> 39:46.800]  So yeah, that's a really micro-specific question that's called that. The way we do it on micro-OS
[39:46.800 --> 39:51.400]  is when we talk about the root file system, we're not talking about the root partition
[39:51.400 --> 39:58.040]  because we're using BTRFS. So BTRFS, you have this concept of subvolumes. We have a subvolume
[39:58.040 --> 40:04.320]  for literally everything where the data should be changing. So Home opt because that's third
[40:04.320 --> 40:10.840]  party, so it's not us, user local because, again, that's not us. Anything that isn't
[40:10.840 --> 40:16.040]  the distro is in a subvolume, and then the distro's root file system is just that last
[40:16.040 --> 40:19.480]  bit that's left. So that bit's read-only. That's the bit that's managed by the package
[40:19.480 --> 40:25.880]  manager. All the subvolumes are freely available in read-write. That doesn't make ETC a little
[40:25.880 --> 40:31.320]  bit interesting because that's the one folder where it's both. Distros put stuff in there.
[40:31.320 --> 40:37.040]  In micro-OS, we handle that with overlayFS right now, where we're basically taking copies
[40:37.040 --> 40:41.600]  of that, knowing what we put there, knowing what the user put there, or at least trying
[40:41.600 --> 40:46.520]  to, and then merging everything together so the thing works. Ideally, what we would like
[40:46.520 --> 40:54.200]  is everybody to start using, like most people already are, user for putting in distribution
[40:54.200 --> 41:00.320]  configs at USR. It should be in userlib or useretc or whatever. Just like you see with
[41:00.320 --> 41:07.800]  systemd, where distros put their distro config in userlib systemd, and then users put their
[41:07.800 --> 41:15.080]  local config in ETC systemd. That way works very, very nicely, but meanwhile, ETC is a
[41:15.080 --> 41:28.360]  bit of a mess, but a mess that we can manage.
[41:28.360 --> 41:37.240]  Thank you for the presentation. Why isn't FlatBag suitable for CLIs?
[41:37.240 --> 41:52.440]  It is suitable for CLIs. There's actually guides now for how to do that. The assumption
[41:52.440 --> 41:58.320]  is always probably going to be that it's graphical, but there's no reason why a graphical application
[41:58.320 --> 42:04.480]  can't start an X-term and run a CLI app. There's actually examples in the FlatBag documentation
[42:04.480 --> 42:13.360]  of how to do that. Generally speaking, for apps that might not fit that kind of model,
[42:13.360 --> 42:21.360]  I think a lot of that CLI or more service-based command-line-y stuff, that's handled so well
[42:21.360 --> 42:28.720]  by OCI containers, Podman, Docker, and the like. Why mess with that? You've got all those
[42:28.720 --> 42:34.720]  containers already out there. You've got everyone building the command-line tooling and server
[42:34.720 --> 42:41.120]  tooling in containers. That does very, very well in that context. It just sucks on the
[42:41.120 --> 42:46.120]  desktop, have FlatBag that just handles the desktop issue. You don't necessarily have
[42:46.120 --> 42:53.360]  to have one thing to do everything. I think FlatBag draws that line quite nicely, where
[42:53.360 --> 43:02.040]  it naturally starts getting painful when you head down that road.
[43:02.040 --> 43:09.560]  Any more questions? No? Well, hopefully I will see you all in a couple of years when
[43:09.560 --> 43:26.200]  I'm back in. Thank you very much.
