[00:00.000 --> 00:07.000]  Welcome, good morning everybody.
[30:03.000 --> 30:08.000]  monitors the tables and the JPC.
[30:08.000 --> 30:11.000]  So let's just run this.
[30:11.000 --> 30:26.000]  So here we see the first three results.
[30:26.000 --> 30:29.000]  As you can see, the application has not stopped.
[30:29.000 --> 30:32.000]  So it is waiting for more records to come,
[30:32.000 --> 30:35.000]  and now I want to insert more values into MySQL.
[30:35.000 --> 30:40.000]  I could have used MySQL to see a line for that,
[30:40.000 --> 30:43.000]  but I can also use my SQL to see what I see.
[30:43.000 --> 30:47.000]  So I am having a regular,
[30:47.000 --> 30:51.000]  I can set into transaction JPC, values, blah, blah, blah,
[30:51.000 --> 30:54.000]  and I can run this main method here.
[30:54.000 --> 30:57.000]  So it's a bit overkill to use Spring for that,
[30:57.000 --> 30:59.000]  for just one value,
[30:59.000 --> 31:01.000]  but I think it's flexible enough
[31:01.000 --> 31:04.000]  you can also use it for the hash query
[31:04.000 --> 31:08.000]  of just setting one record into the database,
[31:08.000 --> 31:10.000]  and as you can see,
[31:10.000 --> 31:14.000]  we can show my SQL and from my SQL,
[31:14.000 --> 31:18.000]  via CPC to the link,
[31:18.000 --> 31:21.000]  and then to the next CPC.
[31:21.000 --> 31:24.000]  We have also more sophisticated examples here,
[31:24.000 --> 31:28.000]  and I don't think that we have more time for that,
[31:28.000 --> 31:32.000]  but we can do a lot of things with Spring SQL.
[31:32.000 --> 31:34.000]  I think I could spend a day
[31:34.000 --> 31:39.000]  and talk a little bit more about the way this works.
[31:39.000 --> 31:43.000]  So, put on the grid.
[31:43.000 --> 31:46.000]  Yeah, Spring SQL and it is very powerful,
[31:46.000 --> 31:50.000]  has been crafted over years and years and years,
[31:50.000 --> 31:53.000]  by many, many companies, many teams.
[31:53.000 --> 31:57.000]  It's very flexible for integration,
[31:57.000 --> 32:01.000]  for integrating various systems of different semantics,
[32:01.000 --> 32:04.000]  and there is way more.
[32:04.000 --> 32:07.000]  So, I just showed some operators,
[32:07.000 --> 32:11.000]  but we have a large, large coverage of SQL standard,
[32:11.000 --> 32:14.000]  so over-windows support for aggregating,
[32:14.000 --> 32:18.000]  for Spring, we support the recognized laws
[32:18.000 --> 32:21.000]  for pattern matching and complex plan processing.
[32:21.000 --> 32:25.000]  We have time for obsessions, windows for like,
[32:25.000 --> 32:27.000]  cutting your screen into pieces.
[32:27.000 --> 32:31.000]  Then there is a huge CPC connector ecosystem,
[32:31.000 --> 32:33.000]  not part of the fourth thing,
[32:33.000 --> 32:36.000]  but also quite useful as a little think-of-stars already.
[32:36.000 --> 32:39.000]  Then, something new, fatal store,
[32:39.000 --> 32:43.000]  which tries to be like the first streaming data warehouse
[32:43.000 --> 32:45.000]  kind of thing.
[32:45.000 --> 32:48.000]  It's not a very early version, but it's very promising.
[32:48.000 --> 32:51.000]  So, yeah, I would recommend to, yeah,
[32:51.000 --> 32:54.000]  maybe look into one of these sub-projects as well.
[32:54.000 --> 32:58.000]  Not only things, it's big, but also the ecosystem,
[32:58.000 --> 33:02.000]  around the thing, the growths and growths and growths.
[33:02.000 --> 33:04.000]  I'm happy to take questions.
[33:04.000 --> 33:06.000]  I think we have three minutes left,
[33:06.000 --> 33:09.000]  but otherwise I will also speak outside for any questions.
[33:09.000 --> 33:11.000]  Thank you very much.
[33:11.000 --> 33:13.000]  Thank you.
[33:42.000 --> 33:44.000]  Yeah, so like...
[33:44.000 --> 33:46.000]  Can you please repeat the question?
[33:46.000 --> 33:48.000]  The question is like, how does it, like,
[33:48.000 --> 33:51.000]  handle like, transactions that also take a lot of time
[33:51.000 --> 33:54.000]  before the transaction has ended.
[33:54.000 --> 33:57.000]  So, in general, I think we are not very good at
[33:57.000 --> 34:00.000]  transaction handling in things,
[34:00.000 --> 34:03.000]  but like you have with Data Stream API,
[34:03.000 --> 34:05.000]  you have a lot of possibilities to,
[34:05.000 --> 34:08.000]  like for example, you can buffer all the data from this
[34:08.000 --> 34:13.000]  transaction and stay at it after terrible time you want to,
[34:13.000 --> 34:16.000]  and then just wait until the transaction closes,
[34:16.000 --> 34:20.000]  and then you're creating the execution of the transaction,
[34:20.000 --> 34:21.000]  and that is possible.
[34:21.000 --> 34:24.000]  So, yeah, personally, I would maybe do some stuff
[34:24.000 --> 34:27.000]  in the Data Stream API first until the transaction ended,
[34:27.000 --> 34:29.000]  and then push that.
[34:29.000 --> 34:34.000]  Thank you.
[34:34.000 --> 34:36.000]  Yeah, thank you both.
[34:36.000 --> 34:38.000]  So, in terms of running times,
[34:38.000 --> 34:41.000]  do I just think from bottom all,
[34:41.000 --> 34:45.000]  if it's an hybrid, I shift my interpretation?
[34:45.000 --> 34:47.000]  No, I think it's creating its own,
[34:47.000 --> 34:49.000]  its own runtime.
[34:49.000 --> 34:51.000]  So, you will be able to do mutual apps,
[34:51.000 --> 34:53.000]  some types of software,
[34:53.000 --> 34:55.000]  some types of software,
[34:55.000 --> 34:57.000]  some types of software,
[34:57.000 --> 34:59.000]  and then just look at the,
[34:59.000 --> 35:02.000]  like, I don't know if there's a lot of data in the stream.
[35:02.000 --> 35:03.000]  No, I don't.
[35:03.000 --> 35:04.000]  Is that all there?
[35:04.000 --> 35:05.000]  Okay.
[35:05.000 --> 35:06.000]  Let me check.
[35:06.000 --> 35:08.000]  There's a library that's called the HGIS,
[35:08.000 --> 35:10.000]  which is not for you to be used,
[35:10.000 --> 35:12.000]  but we can also buy it,
[35:12.000 --> 35:14.000]  and that's the idea for a line.
[35:14.000 --> 35:15.000]  But in general, yeah,
[35:15.000 --> 35:18.000]  the platform, it's rather a platform,
[35:18.000 --> 35:20.000]  that's where it looks.
[35:22.000 --> 35:23.000]  Now, the next logical question,
[35:23.000 --> 35:25.000]  how far does it scale?
[35:25.000 --> 35:27.000]  I would say,
[35:27.000 --> 35:29.000]  as the question was,
[35:29.000 --> 35:31.000]  how far does it scale,
[35:33.000 --> 35:35.000]  I can tell you that
[35:35.000 --> 35:37.000]  probably from the system,
[35:37.000 --> 35:39.000]  and like,
[35:39.000 --> 35:41.000]  there's single state,
[35:41.000 --> 35:43.000]  there's a billion,
[35:43.000 --> 35:44.000]  all of us,
[35:44.000 --> 35:46.000]  and all of us in the day or so.
[35:47.000 --> 35:49.000]  Yeah, and there is Apple,
[35:49.000 --> 35:51.000]  that processes things,
[35:51.000 --> 35:53.000]  like all the big banks
[35:53.000 --> 35:56.000]  use it for credit card fraud detection
[35:56.000 --> 35:57.000]  and stuff like that.
[35:57.000 --> 36:00.000]  So, I don't think that,
[36:00.000 --> 36:03.000]  like most companies in this room,
[36:03.000 --> 36:06.000]  they will not reach the scalability limits of Link,
[36:06.000 --> 36:08.000]  because yeah, we are not at,
[36:08.000 --> 36:11.000]  unless here some Apple or Alibaba people
[36:11.000 --> 36:12.000]  are in this room,
[36:12.000 --> 36:14.000]  then maybe, I don't know.
[36:17.000 --> 36:19.000]  You said that the frame does not own data,
[36:19.000 --> 36:21.000]  but then there is this table store project,
[36:21.000 --> 36:23.000]  so is it like move towards,
[36:23.000 --> 36:25.000]  you know, more like ownership?
[36:25.000 --> 36:27.000]  Yeah, this table store is a very,
[36:27.000 --> 36:29.000]  very interesting approach,
[36:29.000 --> 36:31.000]  like it started last year,
[36:31.000 --> 36:32.000]  or two years ago,
[36:32.000 --> 36:33.000]  it's rather new.
[36:33.000 --> 36:35.000]  I think it was last year, early last year.
[36:36.000 --> 36:39.000]  It doesn't really fit to Apache Flink,
[36:39.000 --> 36:41.000]  but it's still, it's very useful,
[36:41.000 --> 36:43.000]  and yeah, we will see,
[36:43.000 --> 36:45.000]  maybe it will leave the,
[36:45.000 --> 36:47.000]  maybe it will leave the Apache Software Foundation soon,
[36:47.000 --> 36:49.000]  but yeah, not allowed to,
[36:49.000 --> 36:51.000]  and not the Software Foundation,
[36:51.000 --> 36:53.000]  but the Flink project itself,
[36:53.000 --> 36:54.000]  we will see,
[36:56.000 --> 36:58.000]  because it doesn't fit really well,
[36:58.000 --> 36:59.000]  but it's in general,
[36:59.000 --> 37:02.000]  like we still have this vision of Flink as a database.
[37:02.000 --> 37:03.000]  Yeah, we will see.
[37:03.000 --> 37:04.000]  Thank you.
[37:06.000 --> 37:07.000]  Sir, a question.
[37:07.000 --> 37:09.000]  This is about big states,
[37:09.000 --> 37:10.000]  because you mentioned that you can have like
[37:10.000 --> 37:11.000]  terabytes of state,
[37:11.000 --> 37:14.000]  but when you create a checkpoint,
[37:14.000 --> 37:17.000]  and if this checkpoint will be very big,
[37:17.000 --> 37:20.000]  and storage of it can be long,
[37:20.000 --> 37:23.000]  is it like a huge DC post to write into the store?
[37:23.000 --> 37:24.000]  Yeah, so the question was,
[37:24.000 --> 37:28.000]  like how can we actually snapshot large state in general?
[37:28.000 --> 37:31.000]  And this is exactly where Flink distinguishes,
[37:31.000 --> 37:34.000]  like where it differs from competitors,
[37:34.000 --> 37:36.000]  because there is a lot of engineering involved
[37:36.000 --> 37:39.000]  to make this as efficient as possible.
[37:39.000 --> 37:41.000]  I'm sure there's even more to do,
[37:41.000 --> 37:43.000]  it's still not perfectly efficient,
[37:43.000 --> 37:45.000]  there's more optimizations that you can do,
[37:45.000 --> 37:49.000]  but for example, there is like differential snapshots
[37:49.000 --> 37:53.000]  involved, there is local recovery involved,
[37:53.000 --> 37:57.000]  or like there are many, many algorithms under the hood
[37:57.000 --> 38:00.000]  to make it as quickly as possible.
[38:00.000 --> 38:01.000]  But yeah, of course,
[38:01.000 --> 38:03.000]  like if you have terabytes of state,
[38:03.000 --> 38:05.000]  and the machine has died completely,
[38:05.000 --> 38:09.000]  and then you obviously need to restore these terabytes
[38:09.000 --> 38:13.000]  of state from S3 into your task manager again,
[38:13.000 --> 38:15.000]  and this can take time.
[38:15.000 --> 38:17.000]  So like it tries its best,
[38:17.000 --> 38:18.000]  but yeah, of course,
[38:18.000 --> 38:21.000]  you need to do benchmarks for your use case.
[38:29.000 --> 38:30.000]  One last question.
[38:39.000 --> 38:42.000]  Yeah, so we guarantee exactly once and to end
[38:42.000 --> 38:46.000]  if the connectors, source and sync support that,
[38:46.000 --> 38:48.000]  like especially for state,
[38:48.000 --> 38:50.000]  so there are no duplicates in state,
[38:50.000 --> 38:54.000]  we might need to reprocess data during a failure,
[38:54.000 --> 38:56.000]  but yeah, like end to end,
[38:56.000 --> 38:59.000]  exactly once semantics are possible.
[39:01.000 --> 39:02.000]  Okay, then yeah, thank you very much,
[39:02.000 --> 39:12.000]  and I'm waiting outside.
