[00:00.000 --> 00:08.320]  Thanks, everybody, for coming.
[25:43.560 --> 25:45.560]  but it's looking at online interface design
[25:45.560 --> 25:49.560]  and it's obliging platforms to design their interface
[25:49.560 --> 25:52.560]  in a way that is not deceptive
[25:52.560 --> 25:54.560]  and doesn't leave the user down a path they wouldn't intend.
[25:54.560 --> 25:59.560]  So very much the authors of the GSA are trying to not have that happen again
[25:59.560 --> 26:01.560]  through this one article.
[26:01.560 --> 26:03.560]  However, the article isn't as strong as it could be
[26:03.560 --> 26:06.560]  and so a lot of civil study advocates that were pushing for it to be stronger
[26:06.560 --> 26:08.560]  didn't get everything they wanted.
[26:08.560 --> 26:10.560]  That said, I see this as being really, really important
[26:10.560 --> 26:13.560]  and I think if platforms do look at this article and fully comply
[26:13.560 --> 26:16.560]  we shouldn't have some of these dark pattern issues.
[26:16.560 --> 26:20.560]  But this, yeah, this is one of those details that will yet to be seen
[26:20.560 --> 26:23.560]  and I think there's going to be a lot of pressure on this one provision
[26:23.560 --> 26:26.560]  and I hope it can withstand that pressure.
[26:26.560 --> 26:28.560]  Thank you very much.
[26:28.560 --> 26:30.560]  We don't have time for more questions,
[26:30.560 --> 26:32.560]  but feel free to pop them in the matrix room
[26:32.560 --> 26:34.560]  and thank you very much.
[26:34.560 --> 26:36.560]  Thank you.
