[00:00.000 --> 00:19.920]  We're starting.
[25:52.120 --> 25:57.720]  When we get to a precise scan of the heap, we have to implement a few things on the Guile
[25:57.720 --> 25:58.720]  side.
[25:58.720 --> 26:03.200]  There are some hazards about current uses of the API.
[26:03.200 --> 26:10.400]  In particular, if a third-party user ever allocates an object and then stuffs something
[26:10.400 --> 26:15.880]  in it that Guile doesn't know about, is it an integer or is it a pointer to the heap?
[26:15.880 --> 26:22.680]  And there are a couple of places that people can do that that are unclear.
[26:22.680 --> 26:28.440]  And we can't allow this if we want to trace the heap precisely and move objects.
[26:28.440 --> 26:37.040]  So this might require some small API changes and API breaks, because it's a new series,
[26:37.040 --> 26:38.040]  around this area.
[26:38.040 --> 26:41.680]  It might be actually time to remove smobs entirely, possibly.
[26:41.680 --> 26:47.200]  So that's what's actually pushing us to a new major release.
[26:47.200 --> 26:53.960]  So in summary, Wipit is a new GC, it's a replacement for BDW GC.
[26:53.960 --> 27:00.880]  It has the potential to reach a new local maximum, the better than BDW.
[27:00.880 --> 27:02.720]  And I think we can get into Guile 3.2.
[27:02.720 --> 27:09.320]  I would like to thank particularly the MMTK people for inspiration and discussions, because
[27:09.320 --> 27:13.800]  it's been really helpful to be able to properly learn about garbage collection over the last
[27:13.800 --> 27:14.800]  year or so.
[27:14.800 --> 27:16.400]  I'll leave you with one slide.
[27:16.400 --> 27:21.400]  When you evaluate a GC, you need to do so with a space-time diagram, because GC is a
[27:21.400 --> 27:23.720]  function, it's a trade-off between space and time.
[27:23.720 --> 27:28.440]  So on the x-axis, you should have your heap size as a function of what is the minimum
[27:28.440 --> 27:29.440]  heap size.
[27:29.440 --> 27:36.320]  Here, I measured some algorithms at 1.3x, 1.5x, 1.75x, 2, 2.5, 3, 4, 5, and 6, or just
[27:36.320 --> 27:37.320]  a 5.
[27:37.320 --> 27:41.400]  I don't know, on the y-axis, you should have whatever you're measuring, be it instructions
[27:41.400 --> 27:47.440]  retired or wall clock time or memory or something like that, because the heap size is one of
[27:47.440 --> 27:52.280]  the, and the response to heap size is one of the fundamental trade-offs in GC.
[27:52.280 --> 27:57.400]  Here we show that actually, we show the BDW collector, a semi-space collector, which is
[27:57.400 --> 28:05.480]  also implemented behind the Wipit API, and the Wipit algorithm, serial, one marker, one
[28:05.480 --> 28:07.200]  mutator on this benchmark.
[28:07.200 --> 28:10.520]  We see performance as we change heap size.
[28:10.520 --> 28:13.960]  Wipit is the only one that gets to 1.3x.
[28:13.960 --> 28:17.960]  This is an analytical calculation of how big the heap should be.
[28:17.960 --> 28:21.960]  It's not measured as to how small I can get anything to run, but it's like what I think
[28:21.960 --> 28:24.400]  the heap should take.
[28:24.400 --> 28:30.640]  So it might not precisely be 1.3, it might be one, you know, it's a number in that range.
[28:30.640 --> 28:31.640]  It can get to the smallest.
[28:31.640 --> 28:33.440]  It takes a bit of effort to do so.
[28:33.440 --> 28:38.520]  As you become more parsimonious with your heap, you end up tracing it more.
[28:38.520 --> 28:42.120]  So the curve goes up on that side, but it's the only one that actually gets to that x-axis
[28:42.120 --> 28:44.360]  point of view.
[28:44.360 --> 28:49.920]  And then it quickly passes, and you want these numbers to be low.
[28:49.920 --> 28:50.920]  That's what you want.
[28:50.920 --> 28:57.840]  It quickly passes BDW GC, it's only one point where it takes more time than BDW GC, and
[28:57.840 --> 28:58.840]  that's concerning.
[28:58.840 --> 28:59.840]  I need to fix that one.
[28:59.840 --> 29:00.840]  Let me see the green line.
[29:00.840 --> 29:02.160]  This is a semi-space collector.
[29:02.160 --> 29:07.080]  Semi-space, as you add memory, it gets easier and easier and easier, right, because it depends
[29:07.080 --> 29:09.440]  only on the size of the live data.
[29:09.440 --> 29:13.240]  Whereas WIPPET and BDW need to sweep the heap.
[29:13.240 --> 29:16.800]  So as you add memory, it sort of plateaus.
[29:16.800 --> 29:18.320]  It doesn't keep on going down.
[29:18.320 --> 29:19.640]  I don't know why it goes up at the end.
[29:19.640 --> 29:21.600]  This is my other little touch of the hand.
[29:21.600 --> 29:22.600]  I don't know.
[29:22.600 --> 29:25.400]  That looks like a bug to me.
[29:25.400 --> 29:27.160]  So that's something I fixed.
[29:27.160 --> 29:28.880]  Anyway, there's WIPPET.
[29:28.880 --> 29:31.520]  Thank you for enduring this blathering.
[29:31.520 --> 29:36.400]  And good luck, everybody, in about 18 months when this starts rolling out to geeks.
[29:36.400 --> 29:38.960]  Just joking, because I won't be around.
[29:38.960 --> 29:39.960]  Good.
[29:39.960 --> 29:46.960]  So I'll take any questions.
[29:46.960 --> 29:51.520]  Even dumb questions.
[29:51.520 --> 29:52.520]  That's okay.
[29:52.520 --> 29:53.520]  Yes, sir?
[29:53.520 --> 30:01.840]  It seems to me like conservative stack scanning is incompatible with address sanitizer from
[30:01.840 --> 30:02.840]  LVM or GCC.
[30:02.840 --> 30:09.960]  So how do you debug address bugs in the GCC?
[30:09.960 --> 30:15.240]  So the question is, conservative stack scanning seems to be incompatible with address sanitizer
[30:15.240 --> 30:16.240]  from LVM GCC.
[30:16.240 --> 30:23.280]  I'm a professional C++ developer, and I work on web browsers.
[30:23.280 --> 30:26.160]  I don't know what address sanitizer does.
[30:26.160 --> 30:29.720]  I know it gives me bugs sometimes and tells me things I have to fix, but I don't know
[30:29.720 --> 30:30.720]  what's going on there.
[30:30.720 --> 30:31.720]  I should know.
[30:31.720 --> 30:33.720]  Can you tell us, why is it incompatible?
[30:33.720 --> 30:40.720]  Basically, every time you access something that wasn't registered properly via malloc,
[30:40.720 --> 30:46.280]  for example, or aloca, it tells you you're in the red zone or you're in something that
[30:46.280 --> 30:47.280]  doesn't work.
[30:47.280 --> 30:54.360]  So to scan your wall stack, only part of it is actually valid.
[30:54.360 --> 31:03.360]  So the answer is that it only signals warnings if you ever access a value after it's been
[31:03.360 --> 31:04.360]  freed.
[31:04.360 --> 31:05.360]  Is that right?
[31:05.360 --> 31:09.920]  For example, you are in a function and you access something that wasn't.
[31:09.920 --> 31:14.320]  I think it's actually not a problem because we don't trigger the malloc-free detection
[31:14.320 --> 31:15.320]  at all.
[31:15.320 --> 31:20.520]  What makes a complete third-party allocator is if you M-map the page and we're just reading
[31:20.520 --> 31:25.160]  values from that page, and so it doesn't trigger the particular logic there, which
[31:25.160 --> 31:28.320]  also means you have no tool support.
[31:28.320 --> 31:34.760]  You're as wild west with the bugs that go with it, so yeah, I guess that's the answer
[31:34.760 --> 31:35.760]  there.
[31:35.760 --> 31:36.760]  Yes, so the question.
[31:36.760 --> 31:37.760]  How will this affect Geeks users?
[31:37.760 --> 31:45.280]  Well, this will affect Geeks users in the sense that, one, I hope that when you read
[31:45.280 --> 31:51.040]  build the system, Geeks launches multiple threads to compile things.
[31:51.040 --> 31:54.000]  And as we see, there is contention in BDWGC.
[31:54.000 --> 31:57.280]  It doesn't actually scale very well as you add threads if you have an allocation-heavy
[31:57.280 --> 31:58.280]  workload.
[31:58.280 --> 32:04.280]  And so I think that when Guile incorporates WIPIT, Geeks with multiple threads should scale
[32:04.280 --> 32:05.280]  better.
[32:05.280 --> 32:12.400]  In addition, we will be able to have better tooling for how understanding the heap and
[32:12.400 --> 32:19.400]  heap usage, and ideally, be able to place ourselves better on the kind of space-time
[32:19.400 --> 32:25.360]  trade-off if you need more throughput, give it a bigger heap, also let it shrink.
[32:25.360 --> 32:29.040]  And that can affect also longer-running demons like the shepherd and things like that.
[32:29.040 --> 32:31.880]  So it should yield a more robust system.
[32:31.880 --> 32:32.880]  Yes?
[32:32.880 --> 32:42.880]  There are some architectures which can be used in 64-bit page.
[32:42.880 --> 32:45.040]  Would that be a problem with using 16K blocks?
[32:45.040 --> 32:48.440]  They're actually 64 kilobyte blocks.
[32:48.440 --> 32:54.600]  So I think I chose the least common multiple or whatever.
[32:54.600 --> 32:59.080]  It's configurable, but I think the default size is such that they are large enough for
[32:59.080 --> 33:01.320]  any common architecture.
[33:01.320 --> 33:07.320]  The question was about page size, is 16 kilobytes big enough for blocks, but it's actually
[33:07.320 --> 33:08.320]  64 kilobytes.
[33:08.320 --> 33:09.320]  Yes?
[33:09.320 --> 33:15.320]  With the collection, would it ever have to stop all threads simultaneously, or do the
[33:15.320 --> 33:16.320]  threads stop at a different location?
[33:16.320 --> 33:17.320]  Basically, are there stops in the world?
[33:17.320 --> 33:18.320]  Yeah.
[33:18.320 --> 33:19.320]  Yeah, that's a very good question.
[33:19.320 --> 33:20.320]  I didn't mention this.
[33:20.320 --> 33:22.520]  So this is a stop-the-world collector.
[33:22.520 --> 33:28.840]  It's not a concurrent collector with the exception of threads mark their own stacks while other
[33:28.840 --> 33:29.840]  threads are running.
[33:29.840 --> 33:32.400]  There's a little bit of concurrency there.
[33:32.400 --> 33:39.520]  We may add concurrent marking at some point, but you need write barriers for that to work.
[33:39.520 --> 33:43.520]  And so that would be something to add once generational collection is working, because
[33:43.520 --> 33:46.920]  you've proven that you have all the write barriers in the right place.
[33:46.920 --> 33:53.160]  Then write barriers is just like a little piece of code that runs whenever you store
[33:53.160 --> 33:54.400]  a pointer.
[33:54.400 --> 33:59.800]  And if write barriers can be used to indicate pointers from old objects to new objects,
[33:59.800 --> 34:05.320]  helping you do generational collection, they can also be used to mark an object as being
[34:05.320 --> 34:11.240]  allocated after the concurrent marker has already marked it in that cycle.
[34:11.240 --> 34:13.040]  I'm not explaining myself very well.
[34:13.040 --> 34:19.440]  But basically, you need write barriers to be able to have, to be able to minimize the
[34:19.440 --> 34:23.640]  stop-the-world component of the mark phase.
[34:23.640 --> 34:26.640]  Does that answer the question?
[34:26.640 --> 34:27.640]  Yes?
[34:27.640 --> 34:33.080]  Is this simply guy or complicate the guy with the web assembly?
[34:33.080 --> 34:34.080]  Oh, yeah.
[34:34.080 --> 34:35.080]  It's a good question.
[34:35.080 --> 34:38.120]  So there's a project to compile a guy's web assembly.
[34:38.120 --> 34:44.640]  I think initially this will probably start by having a guy library produce web assembly
[34:44.640 --> 34:47.160]  that has its own runtime.
[34:47.160 --> 34:53.240]  And this could grow to a whole program standalone compiler in which a guy has a library that
[34:53.240 --> 34:58.000]  takes your guile program and spits out a native binary.
[34:58.000 --> 35:01.960]  And in that case, that native binary would include WIPPET, embedded in it, instead of
[35:01.960 --> 35:06.880]  having that native binary then link to the BDW collector.
[35:06.880 --> 35:08.880]  So the goal would be to produce one binary that's all finished.
[35:08.880 --> 35:09.880]  Is that it?
[35:09.880 --> 35:10.880]  Thank you.
[35:10.880 --> 35:11.880]  Thank you very much.
[35:11.880 --> 35:12.880]  Thank you very much.
[35:12.880 --> 35:39.400]  Thank you very much.
