[00:00.000 --> 00:21.680]  Thank you very much.
[26:09.280 --> 26:10.880]  order and so on.
[26:10.880 --> 26:11.880]  Yeah.
[26:11.880 --> 26:12.880]  The one in the back.
[26:12.880 --> 26:16.880]  What has made you choose Cyclone DX over SPDX?
[26:16.880 --> 26:17.880]  Yeah.
[26:17.880 --> 26:20.880]  So the question is, and we anticipated it because we already had that conversation with
[26:20.880 --> 26:22.880]  Kate at the fringe event.
[26:22.880 --> 26:28.480]  So why did we choose Cyclone DX over SPDX, right?
[26:28.480 --> 26:33.560]  So it was partly because that's what all of us already knew.
[26:33.560 --> 26:35.400]  So that was the first point of contact.
[26:35.400 --> 26:39.240]  And the other reason is that we got going on in a lot more quickly.
[26:39.240 --> 26:40.480]  So it's lightweight.
[26:40.480 --> 26:44.520]  You can start at a very low level and then build on top from there.
[26:44.520 --> 26:48.720]  Whereas, so our subjective experience, I'd like to say it might be different for somebody
[26:48.720 --> 26:53.440]  else, but so the SPDX spec is quite daunting in its depth.
[26:53.440 --> 26:54.960]  And we didn't need all of the features.
[26:54.960 --> 26:57.880]  So understanding the spec fully wasn't in scope for us.
[26:57.880 --> 26:59.640]  Yeah, sure.
[26:59.640 --> 27:04.200]  I would like to add one thing about the SPDX versus Cyclone DX thing.
[27:04.200 --> 27:10.440]  I mean Siemens is relatively large and there's lots of different parts in it, right?
[27:10.440 --> 27:14.040]  And that's probably, as it is in most companies of that size.
[27:14.040 --> 27:19.760]  And we discovered that we had already started with Cyclone DX individually before we came
[27:19.760 --> 27:22.800]  together as to solve this centrally, right?
[27:22.800 --> 27:26.520]  And then once you discover that on an important question like that, you're already almost
[27:26.520 --> 27:27.520]  aligned, right?
[27:27.520 --> 27:30.760]  Then you don't open that kind of worms again to choose the best formula.
[27:30.760 --> 27:33.560]  That's kind of a, well, realistic approach.
[27:33.560 --> 27:40.520]  How do we scan containers?
[27:40.520 --> 27:41.520]  How do we scan containers?
[27:41.520 --> 27:47.800]  Yeah, so I'd like to say that's still very much an ongoing field of research internally.
[27:47.800 --> 27:53.800]  But I can give you, so I do believe that to give you the full picture, we should maybe
[27:53.800 --> 27:56.880]  talk afterwards that won't fit into the QA session.
[27:56.880 --> 27:59.240]  But we have a combined approach there as well.
[27:59.240 --> 28:04.560]  So we use stuff like scan code IO, turn all these other static scanners, sift actually
[28:04.560 --> 28:05.560]  to get us started.
[28:05.560 --> 28:08.880]  But then once you start digging deeper, of course, that's not the scope of the tool.
[28:08.880 --> 28:11.520]  It needs to be fast.
[28:11.520 --> 28:13.160]  And then we need to aggregate that.
[28:13.160 --> 28:14.600]  And that's the biggest challenge, of course.
[28:14.600 --> 28:17.400]  So reconciling all those different scan results.
[28:17.400 --> 28:21.400]  And so if somebody is doing active work on that, I'd be happy to talk to you.
[28:21.400 --> 28:23.280]  Thomas, maybe?
[28:23.280 --> 28:24.280]  One last question?
[28:24.280 --> 28:40.320]  Yeah, so the question was, how do we make sure that the dependency scan is complete?
[28:40.320 --> 28:47.280]  Well, I mean, it would be snagal to say that we can always be sure, because we're not going
[28:47.280 --> 28:48.280]  to be sure.
[28:48.280 --> 28:53.440]  But we have a best effort approach that has been tested against lots of images.
[28:53.440 --> 28:57.920]  And occasionally, people will actually come in after the fact and verify the results.
[28:57.920 --> 29:02.160]  And based on those findings, we will improve.
[29:02.160 --> 29:04.520]  And that's not one other aspect to that.
[29:04.520 --> 29:09.200]  And we kind of mentioned it on the containers slide when we were at that point.
[29:09.200 --> 29:11.720]  It depends a little bit on what you're scanning, right?
[29:11.720 --> 29:16.160]  So if it's in your source ecosystem, then I can, as a developer, I can be reasonably
[29:16.160 --> 29:18.360]  sure that the S-bomb is complete.
[29:18.360 --> 29:43.840]  If I take a random container from the internet, then that's very difficult.
