[00:00.000 --> 00:09.000]  So, next up, Nicole.
[25:41.000 --> 25:43.000]  And they're all changing.
[25:43.000 --> 25:46.000]  And actually you want to look at the impact assessment
[25:46.000 --> 25:50.000]  of that change, of change of regulation
[25:50.000 --> 25:51.000]  or move to a different market.
[25:51.000 --> 25:53.000]  You want to be able to see that.
[25:53.000 --> 25:55.000]  So if you could capture that,
[25:55.000 --> 25:58.000]  and whether it's cyber or safety or anything,
[25:58.000 --> 26:03.000]  having that traceability must be a great movement.
[26:03.000 --> 26:05.000]  So I'm sure people like Seaman would love it
[26:05.000 --> 26:07.000]  for this type of system thing, you know.
[26:07.000 --> 26:08.000]  Build the power station.
[26:08.000 --> 26:09.000]  Yeah.
[26:09.000 --> 26:11.000]  Yeah, this thing is, I don't know.
[26:11.000 --> 26:12.000]  I'm thinking of adding to shift.
[26:12.000 --> 26:15.000]  I'm basically already had huge amounts of things
[26:15.000 --> 26:19.000]  about safety and the main and international stuff like that.
[26:19.000 --> 26:22.000]  So capturing all this in a thing
[26:22.000 --> 26:24.000]  so you can see the relationships and change
[26:24.000 --> 26:26.000]  so you can see the local effect.
[26:26.000 --> 26:29.000]  If this went up from version one to version two,
[26:29.000 --> 26:31.000]  where's the impact?
[26:31.000 --> 26:32.000]  Which part of the design?
[26:32.000 --> 26:34.000]  Which part of the supply chain?
[26:34.000 --> 26:35.000]  Yeah, exactly.
[26:35.000 --> 26:37.000]  Yeah, I would also love to have this.
[26:37.000 --> 26:40.000]  At the moment, the idea is really,
[26:40.000 --> 26:42.000]  okay, I need the evidence for me
[26:42.000 --> 26:44.000]  because I need to be sure what I have
[26:44.000 --> 26:45.000]  and what I have deployed.
[26:45.000 --> 26:49.000]  But yeah, the next thing is I'm a component part
[26:49.000 --> 26:51.000]  or I'm making component part
[26:51.000 --> 26:55.000]  and I ship this down the supply chain.
[26:55.000 --> 26:57.000]  And the next one who wants to consume this
[26:57.000 --> 26:58.000]  wants the information.
[26:58.000 --> 27:01.000]  And it doesn't make, maybe not want,
[27:01.000 --> 27:05.000]  I don't want to give out all the information that I have,
[27:05.000 --> 27:07.000]  but I can give the relationships
[27:07.000 --> 27:08.000]  and the completeness information
[27:08.000 --> 27:10.000]  and I can do this in an automated way
[27:10.000 --> 27:14.000]  that can go into an automated supply chain process.
[27:14.000 --> 27:15.000]  You've passed the supply chain,
[27:15.000 --> 27:17.000]  you've passed the relevant bits of the standard.
[27:17.000 --> 27:18.000]  Exactly.
[27:19.000 --> 27:20.000]  Everyone follows this thing
[27:20.000 --> 27:23.000]  because actually 95% of those standards.
[27:23.000 --> 27:26.000]  Oh, time's up, time's up.
[27:26.000 --> 27:27.000]  Sorry.
[27:27.000 --> 27:30.000]  So yeah, it would be great to follow up on this.
[27:30.000 --> 27:32.000]  Please meet us on Fridays in the evening
[27:32.000 --> 27:33.000]  if you want to.
[27:33.000 --> 27:37.000]  And yeah, I'm happy to talk about this later
[27:37.000 --> 27:39.000]  with whoever shows up.
[27:39.000 --> 27:41.000]  Thank you very much.
